"Cryptocurrency","Pump % Gain","Timeframe","Start time","Start price: BTC","Start price: USD","End price: BTC","End price: USD","Publishing time (GMT +2)"
"More Coin","7.227%","5:01 min","9:21 PM","0.000029","$0.18","0.000031","$0.20","2018-08-12 21:26:01"
"FlorinCoin","7.126%","5:01 min","9:21 PM","0.000008","$0.05","0.000008","$0.05","2018-08-12 21:26:01"
"FoldingCoin","5.172%","5:02 min","9:09 PM","0.000001","$0.01","0.000001","$0.01","2018-08-12 21:14:02"
"More Coin","5.473%","4:01 min","9:08 PM","0.000029","$0.18","0.000030","$0.19","2018-08-12 21:12:01"
"More Coin","6.25%","3:09 min","9:08 PM","0.000029","$0.18","0.000030","$0.19","2018-08-12 21:11:09"
"More Coin","9.088%","4:02 min","9:02 PM","0.0000300","$0.19","0.000033","$0.21","2018-08-12 21:06:02"
"More Coin","11.709%","2:02 min","9:02 PM","0.0000300","$0.19","0.000034","$0.22","2018-08-12 21:04:02"
"EverGreenCoin","9.754%","5:02 min","8:51 PM","0.000010","$0.06","0.000011","$0.07","2018-08-12 20:56:02"
"More Coin","7.064%","5:02 min","8:51 PM","0.000028","$0.18","0.000030","$0.19","2018-08-12 20:56:02"
"EverGreenCoin","9.754%","3:02 min","8:51 PM","0.000010","$0.06","0.000011","$0.07","2018-08-12 20:54:02"
"More Coin","7.064%","3:02 min","8:51 PM","0.000028","$0.18","0.000030","$0.19","2018-08-12 20:54:02"
"More Coin","41.607%","5:01 min","8:43 PM","0.000024","$0.15","0.000042","$0.27","2018-08-12 20:48:01"
"More Coin","7.134%","5:02 min","8:33 PM","0.000022","$0.14","0.000024","$0.15","2018-08-12 20:38:02"
"More Coin","25.488%","3:02 min","8:33 PM","0.000022","$0.14","0.000030","$0.19","2018-08-12 20:36:02"
"Melon","9.861%","5:02 min","8:31 PM","0.001410","$8.93","0.001564","$9.90","2018-08-12 20:36:02"
"Melon","9.861%","4:02 min","8:30 PM","0.001410","$8.94","0.001564","$9.92","2018-08-12 20:34:02"
"Aeon","5.279%","5:01 min","8:27 PM","0.000114","$0.72","0.000121","$0.77","2018-08-12 20:32:01"
"Aeon","5.279%","4:00 min","8:27 PM","0.000114","$0.72","0.000121","$0.77","2018-08-12 20:31:00"
"Pesetacoin","6.738%","5:02 min","8:07 PM","0.000003","$0.02","0.000003","$0.02","2018-08-12 20:12:02"
"e-Gulden","6.732%","4:02 min","8:08 PM","0.000007","$0.04","0.000007","$0.04","2018-08-12 20:12:02"
"EverGreenCoin","7.287%","5:02 min","7:43 PM","0.000011","$0.07","0.000011","$0.07","2018-08-12 19:48:02"
"CashBet Coin","5.944%","5:02 min","7:41 PM","0.000013","$0.08","0.000014","$0.09","2018-08-12 19:46:02"
"Crown","5.616%","5:01 min","6:27 PM","0.000041","$0.26","0.000044","$0.28","2018-08-12 18:32:01"
"Crown","5.616%","4:10 min","6:27 PM","0.000041","$0.26","0.000044","$0.28","2018-08-12 18:31:10"
"Mercury","5.411%","4:01 min","6:10 PM","0.000013","$0.08","0.000014","$0.09","2018-08-12 18:14:01"
"Mercury","5.411%","5:02 min","6:07 PM","0.000013","$0.08","0.000014","$0.09","2018-08-12 18:12:02"
"Energycoin","6.361%","5:58 min","5:35 PM","0.000004","$0.03","0.000004","$0.03","2018-08-12 17:40:58"
"Energycoin","8.608%","5:02 min","5:33 PM","0.000004","$0.03","0.000004","$0.03","2018-08-12 17:38:02"
"DopeCoin","8.019%","5:02 min","5:31 PM","0.000002","$0.01","0.000002","$0.01","2018-08-12 17:36:02"
"DopeCoin","8.019%","4:02 min","5:30 PM","0.000002","$0.01","0.000002","$0.01","2018-08-12 17:34:02"
"Breakout Stake","28.067%","3:02 min","5:05 PM","0.000029","$0.18","0.000040","$0.25","2018-08-12 17:08:02"
"I/O Coin","6.92%","5:02 min","4:37 PM","0.000047","$0.30","0.000050","$0.32","2018-08-12 16:42:02"
"I/O Coin","8.234%","4:08 min","4:37 PM","0.000047","$0.30","0.000051","$0.32","2018-08-12 16:41:08"
"FlorinCoin","5.677%","4:01 min","4:24 PM","0.000007","$0.04","0.000008","$0.05","2018-08-12 16:28:01"
"AidCoin","7.797%","5:01 min","4:23 PM","0.000009","$0.06","0.000010","$0.06","2018-08-12 16:28:01"
"Incent","8.391%","5:02 min","4:19 PM","0.000025","$0.16","0.000027","$0.17","2018-08-12 16:24:02"
